src,edge_attr,dst
32,sports.sports_position.players,230
231,sports.sports_league_draft_pick.team,14
39,people.person.gender,22
232,common.image.appears_in_topic_gallery,14
32,sports.sports_position.players,233
101,people.person.gender,22
6,common.topic.webpage,234
2,people.person.children,83
235,common.webpage.in_index,236
22,base.gender.gender_identity.people,237
238,award.award_nomination.nominated_for,43
45,type.type.expected_by,239
71,film.film.starring,240
128,film.personal_film_appearance.film,241
242,book.book.genre,243
6,film.film.other_crew,208
34,music.music_video_job.music_videos_with_this_crew_job,244
22,medicine.risk_factor.diseases,245
14,baseball.baseball_team.team_stats,246
9,film.personal_film_appearance.type_of_appearance,247
248,freebase.valuenotation.has_no_value,111
2,tv.tv_actor.starring_roles,249
61,base.activism.activist.area_of_activism,198
2,film.actor.film,250
251,common.webpage.topic,6
140,people.person.parents,252
253,aviation.airport.serves,182
6,film.film.starring,254
255,film.film.language,137
129,people.person.children,256
14,sports.professional_sports_team.draft_picks,257
151,people.marriage.spouse,2
181,people.profession.specializations,45
258,basketball.basketball_player_stats.season,259
260,freebase.type_hints.included_types,194
223,people.person.parents,164
7,common.topic.webpage,261
262,common.topic.notable_types,31
198,common.topic.article,263
264,film.film_regional_release_date.film,6
265,freebase.valuenotation.has_value,38
6,film.film.starring,266
267,medicine.disease.risk_factors,22
6,film.film.other_crew,268
14,base.sportbase.sport_sport_club.location,269
6,film.film.starring,270
271,sports.sports_award.team,272
14,baseball.baseball_team.team_stats,273
2,people.person.place_of_birth,182
274,baseball.baseball_team_stats.team,14
275,location.location.containedby,276
150,time.event.locations,124
277,common.webpage.in_index,56
14,award.award_nominee.award_nominations,278
279,baseball.baseball_team_stats.team,14
42,film.film.starring,280
6,film.film.other_crew,281
211,tv.tv_program.regular_personal_appearances,282
182,travel.travel_destination.tourist_attractions,283
6,film.film.film_casting_director,39
284,sports.sports_league_draft_pick.team,14
22,medicine.risk_factor.diseases,285
96,type.property.schema,35
286,baseball.baseball_team_stats.team,14
287,media_common.netflix_title.netflix_genres,288
289,award.award_honor.award_winner,0
22,base.gender.gender_identity.people,290
13,base.activism.activism_issue.activists,291
2,people.person.nationality,69
272,sports.sports_team.location,269
14,baseball.baseball_team.team_stats,149
292,freebase.valuenotation.has_no_value,105
293,award.award_honor.award,294
295,common.webpage.topic,42
296,tv.tv_program.country_of_origin,69
13,base.activism.activism_issue.parent_issue,198
297,people.person.gender,22
2,people.person.sibling_s,298
299,sports.sports_league_draft_pick.team,14
300,award.award_winning_work.awards_won,301
22,medicine.risk_factor.diseases,302
2,people.person.sibling_s,303
304,freebase.valuenotation.is_reviewed,103
305,film.film_cut.film,42
61,people.person.profession,34
73,people.person.profession,141
13,base.activism.activism_issue.activists,76
189,book.book.genre,243
36,freebase.valuenotation.has_no_value,105
188,medicine.disease.risk_factors,306
307,common.webpage.in_index,56
308,tv.regular_tv_appearance.actor,2
309,award.award_honor.award,310
311,award.award_honor.award,312
313,sports.sports_team_roster.position,32
7,common.topic.notable_for,314
14,common.topic.webpage,315
22,medicine.risk_factor.diseases,316
2,film.producer.film,71
317,sports.sports_team_coach_tenure.position,32
2,award.award_winner.awards_won,318
7,common.topic.webpage,319
320,sports.sports_league_participation.league,321
322,freebase.type_profile.strict_included_types,194
69,base.aareas.schema.administrative_area.administrative_children,276
323,common.webpage.in_index,56
189,book.written_work.original_language,137
39,freebase.valuenotation.has_value,26
324,film.performance.film,42
220,people.person.nationality,69
140,people.person.profession,34
14,sports.professional_sports_team.draft_picks,325
326,common.topic.image,82
327,sports.sports_award.award,328
329,sports.sports_league_draft_pick.team,14
197,freebase.valuenotation.is_reviewed,26
36,award.award_honor.award,330
132,base.activism.activist.area_of_activism,13
102,people.person.gender,156
331,baseball.current_coaching_tenure.baseball_team,14
6,common.topic.webpage,332
45,freebase.type_hints.included_types,194
148,sports.sports_award.award_winner,2
197,people.person.nationality,69
22,biology.hybrid_parent_gender.hybrids,333
334,tv.tv_guest_role.actor,2
335,common.topic.notable_types,31
96,type.property.expected_type,96
336,rdf-schema#domain,31
6,film.film.other_crew,337
338,film.film_crew_gig.film,6
42,film.film.film_set_decoration_by,339
340,film.film_regional_release_date.film,6
341,sports.sports_team_roster.position,32
256,people.person.sibling_s,342
343,film.film_crew_gig.film,42
322,freebase.type_profile.strict_included_types,344
345,film.performance.actor,2
22,biology.hybrid_parent_gender.hybrids,346
347,people.person.languages,137
42,film.film.release_date_s,348
349,sports.sports_league_season.awards,350
198,base.activism.activism_issue.activists,351
14,baseball.baseball_team.team_stats,352
275,education.educational_institution_campus.educational_institution,275
353,common.topic.subjects,353
354,sports.sports_team_roster.position,32
355,common.topic.notable_types,31
32,sports.sports_position.players,356
45,freebase.type_profile.published,18
357,award.award_nomination.award,358
6,award.award_nominated_work.award_nominations,359
360,award.award_honor.award_winner,14
351,freebase.valuenotation.is_reviewed,103
361,sports.sport.positions,24
37,freebase.valuenotation.is_reviewed,103
13,base.activism.activism_issue.activists,132
2,award.award_winner.awards_won,362
363,common.topic.notable_types,260
80,award.award_honor.ceremony,67
6,film.film.other_crew,364
14,business.employer.employees,365
2,sports.sports_award_winner.awards,366
120,sports.sports_team_coach.sports_coached,361
6,film.film.executive_produced_by,367
14,base.sportbase.sport_sport_club.player_role,368
210,common.webpage.topic,7
19,tv.tv_guest_role.actor,2
369,film.film_cut.film,71
370,baseball.baseball_team_stats.team,14
371,sports.sports_league_draft_pick.team,14
66,award.award_nomination.nominated_for,42
372,film.performance.film,6
45,base.skosbase.vocabulary_equivalent_topic.equivalent_concept,239
6,film.film.other_crew,373
374,base.rivalries.rivalry.rival,375
7,base.descriptive_names.names.descriptive_name,376
377,people.person.gender,156
45,base.descriptive_names.names.descriptive_name,378
7,common.topic.webpage,379
151,people.marriage.type_of_union,108
34,film.film_job.films_with_this_crew_job,380
7,base.descriptive_names.names.descriptive_name,381
184,freebase.valuenotation.has_value,40
61,people.person.languages,137
382,people.place_lived.location,182
120,people.person.nationality,69
95,people.person.place_of_birth,69
298,people.sibling_relationship.sibling,383
7,base.descriptive_names.names.descriptive_name,384
365,business.employment_tenure.company,14
227,people.person.ethnicity,63
385,award.award_nomination.award_nominee,140
386,film.performance.actor,140
101,freebase.valuenotation.is_reviewed,26
347,people.person.nationality,69
229,people.person.profession,387
388,freebase.valuenotation.has_no_value,105
2,tv.tv_actor.guest_roles,389
71,media_common.netflix_title.netflix_genres,390
198,base.activism.activism_issue.activists,2
165,freebase.valuenotation.has_value,103
391,film.film_crew_gig.film_crew_role,34
0,award.award_winner.awards_won,392
14,sports.professional_sports_team.draft_picks,393
394,sports.sports_league_season.awards,327
2,tv.tv_actor.starring_roles,395
396,sports.sports_team_roster.position,32
182,location.location.contains,397
34,film.film_job.films_with_this_crew_job,398
6,film.film.release_date_s,399
400,common.webpage.topic,6
42,film.film.starring,324
351,people.person.gender,22
156,medicine.risk_factor.diseases,401
2,people.person.sibling_s,402
2,people.person.education,20
403,baseball.baseball_team_stats.team,14
383,people.person.sibling_s,298
404,award.award_category.disciplines_or_subjects,22
405,freebase.valuenotation.has_value,38
253,location.location.containedby,182
42,common.topic.webpage,406
407,tv.tv_crew_gig.tv_crew_role,7
14,baseball.baseball_team.team_stats,408
409,tv.tv_program.regular_cast,249
410,film.film_regional_release_date.film,6
14,sports.professional_sports_team.draft_picks,411
412,common.webpage.in_index,56
101,people.person.profession,32
413,film.film_regional_release_date.film,6
414,tv.tv_guest_role.actor,2
6,film.film.starring,106
2,film.producer.films_executive_produced,42
2,award.award_winner.awards_won,415
22,base.animalnames.animal_gender.animal_names,416
417,common.topic.article,418
43,common.topic.image,419
34,base.descriptive_names.names.descriptive_name,420
124,location.location.containedby,269
252,freebase.valuenotation.has_value,38
141,common.topic.subjects,421
32,sports.sports_position.players,422
2,film.person_or_entity_appearing_in_film.films,423
216,freebase.type_profile.strict_included_types,194
424,freebase.type_profile.published,18
425,fictional_universe.fictional_character.occupation,7
367,people.person.nationality,69
271,sports.sports_award.award_winner,2
181,base.lightweight.profession.similar_professions,387
347,common.topic.subject_of,62
375,sports.sports_team.sport,29
2,basketball.basketball_player.player_statistics,426
321,baseball.baseball_division.teams,14
361,film.film_subject.films,43
427,biology.hybrid_parentage.parent_sex,22
103,type.property.schema,35
428,film.performance.film,42
377,freebase.valuenotation.has_value,103
429,sports.sports_team_roster.position,32
42,film.film.story_by,430
431,film.film_regional_release_date.film,71
432,common.webpage.topic,6
433,basketball.basketball_player_stats.player,2
297,book.author.works_written,417
434,common.webpage.in_index,56
435,film.performance.film,43
42,film.film.genre,436
2,film.actor.film,437
14,baseball.baseball_team.team_stats,438
350,sports.sports_award.award,312
415,award.award_honor.award,310
304,freebase.valuenotation.is_reviewed,96
198,base.activism.activism_issue.activists,439
366,sports.sports_award.award,328
440,film.performance.film,42
441,freebase.valuenotation.has_value,38
42,award.award_nominated_work.award_nominations,442
443,tv.tv_guest_role.episodes_appeared_in,444
445,common.topic.notable_types,446
447,common.webpage.in_index,56
217,film.film_crew_gig.film,6
2,tv.tv_actor.guest_roles,448
449,film.performance.film,6
128,film.personal_film_appearance.person,2
335,media_common.netflix_title.netflix_genres,206
450,basketball.basketball_player_stats.team,272
2,people.person.profession,141
45,type.type.properties,451
14,baseball.baseball_team.team_stats,452
366,sports.sports_award.team,272
32,sports.sports_position.players,453
454,award.award_nomination.nominated_for,42
6,common.topic.webpage,277
2,tv.tv_actor.guest_roles,455
321,baseball.baseball_division.league,456
276,location.location.containedby,69
457,medicine.disease.risk_factors,22
32,sports.sports_position.players,458
459,award.award_honor.award,328
460,common.webpage.topic,7
400,common.webpage.in_index,56
461,sports.sports_award.season,259
462,baseball.current_coaching_tenure.baseball_team,14
6,film.film.release_date_s,340
463,organization.leadership.person,464
390,media_common.media_genre.child_genres,465
161,fictional_universe.fictional_character.gender,22
466,base.marchmadness.ncaa_basketball_tournament.gender,22
467,common.topic.notable_types,468
469,common.image.appears_in_topic_gallery,14
470,film.performance.film,43
471,film.film_regional_release_date.film,6
450,basketball.basketball_player_stats.player,2
42,film.film.starring,146
144,common.topic.notable_types,45
34,common.topic.subject_of,472
164,people.person.children,113
34,base.descriptive_names.names.descriptive_name,473
292,award.award_honor.award_winner,0
14,common.topic.webpage,474
22,common.topic.image,475
476,rdf-schema#range,477
42,common.topic.webpage,478
32,people.profession.specialization_of,387
6,film.film.release_date_s,413
7,fictional_universe.character_occupation.characters_with_this_occupation,479
14,award.award_winner.awards_won,360
258,basketball.basketball_player_stats.player,2
480,common.webpage.topic,14
481,medicine.disease_cause.diseases,306
7,people.profession.specializations,482
335,media_common.netflix_title.netflix_genres,483
42,base.wfilmbase.film.w_id,484
392,freebase.valuenotation.has_no_value,105
14,baseball.baseball_team.team_stats,485
69,location.country.languages_spoken,486
71,film.film.produced_by,2
220,people.person.gender,156
487,baseball.baseball_team_stats.team,14
488,sports.sports_team_roster.position,32
32,sports.sports_position.players,489
490,base.popstra.support.supported_organization,14
114,common.webpage.topic,2
92,music.recording.artist,2
417,book.book.editions,417
267,medicine.risk_factor.diseases,457
101,basketball.basketball_player.position_s,326
45,base.descriptive_names.names.descriptive_name,491
184,common.topic.notable_types,35
375,sports.defunct_sports_team.later_known_as,14
492,award.award_nomination.ceremony,493
242,book.written_work.subjects,14
6,film.film.release_date_s,494
2,film.actor.film,495
484,base.wfilmbase.siteid.film,42
21,location.location.containedby,182
32,sports.sports_position.players,496
32,sports.sports_position.players,497
34,freebase.equivalent_topic.equivalent_type,34
494,film.film_regional_release_date.film,6
498,common.webpage.topic,14
43,film.film.genre,499
14,baseball.baseball_team.team_stats,500
405,film.cinematographer.film,42
501,film.film_regional_release_date.film,6
358,award.award_category.winners,502
32,sports.sports_position.players,503
171,film.performance.film,42
229,freebase.valuenotation.is_reviewed,103
387,base.lightweight.profession.professions_similar,181
262,film.film.genre,504
32,sports.sports_position.players,505
2,film.actor.film,345
506,sports.sports_award.award,310
507,film.film_crew_gig.film,6
45,common.topic.article,508
509,common.image.appears_in_topic_gallery,14
2,sports.sports_award_winner.awards,510
201,film.personal_film_appearance.person,2
14,sports.professional_sports_team.draft_picks,284
476,type.property.expected_type,477
189,book.written_work.subjects,2
511,common.webpage.topic,6
512,common.image.size,513
148,sports.sports_award.season,466
32,sports.sports_position.players,514
515,sports.sports_league_draft_pick.team,14
43,film.film.runtime,516
6,film.film.starring,517
518,common.topic.article,519
367,freebase.valuenotation.has_value,40
520,type.property.expected_type,477
40,rdf-schema#range,477
7,common.topic.webpage,521
73,film.director.film,6
522,film.personal_film_appearance.film,523
14,sports.professional_sports_team.draft_picks,524
14,sports.professional_sports_team.owner_s,203
525,sports.sports_league_season.awards,506
252,freebase.valuenotation.is_reviewed,26
2,people.person.children,526
38,rdf-schema#domain,35
92,music.recording.artist,120
6,freebase.valuenotation.has_no_value,30
409,tv.tv_program.genre,504
527,film.performance.film,6
476,type.property.schema,31
528,base.schemastaging.phone_sandbox.service_language,486
14,baseball.baseball_team.current_coaches,529
160,people.person.gender,22
189,book.written_work.author,2
530,common.webpage.topic,42
14,sports.professional_sports_team.draft_picks,531
532,sports.sports_league_draft_pick.team,14
512,common.image.appears_in_topic_gallery,2
533,film.performance.film,71
534,freebase.valuenotation.has_value,40
321,sports.sports_league.teams,320
124,travel.tourist_attraction.near_travel_destination,269
164,people.person.profession,535
218,people.person.sibling_s,536
537,people.person.nationality,69
215,common.webpage.in_index,56
538,common.webpage.in_index,56
539,business.company_name_change.company,14
160,people.person.profession,141
7,tv.tv_crew_role.tv_episodes,540
102,film.film_production_designer.films_production_designed,42
541,film.performance.film,542
543,freebase.valuenotation.has_no_value,111
22,medicine.risk_factor.diseases,267
544,award.award_honor.award_winner,2
32,sports.sports_position.players,545
546,baseball.baseball_team_stats.team,14
547,base.popstra.support.supported_organization,14
521,common.webpage.in_index,56
548,film.film_crew_gig.film,6
296,common.topic.notable_types,260
423,film.personal_film_appearance.film,549
219,common.webpage.topic,6
248,award.award_honor.award_winner,2
550,film.performance.film,71
252,people.person.profession,34
6,common.topic.webpage,432
551,people.person.profession,45
0,award.award_winner.awards_won,388
218,freebase.valuenotation.has_value,103
140,film.producer.films_executive_produced,6
128,film.personal_film_appearance.type_of_appearance,247
14,baseball.baseball_team.team_stats,552
71,film.film.starring,553
14,common.topic.image,232
96,rdf-schema#range,96
6,film.film.starring,554
551,people.person.gender,22
14,sports.sports_team.championships,555
22,medicine.risk_factor.diseases,556
256,people.person.parents,164
326,common.topic.notable_for,557
42,film.film.other_crew,558
6,film.film.release_date_s,559
6,media_common.netflix_title.netflix_genres,560
103,rdf-schema#range,344
14,base.popstra.organization.supporter,547
561,people.person.nationality,69
164,freebase.valuenotation.has_value,26
45,base.descriptive_names.names.descriptive_name,562
296,tv.tv_program.regular_cast,563
14,sports.sports_team.venue,123
7,base.descriptive_names.names.descriptive_name,564
42,common.topic.webpage,127
565,freebase.type_hints.included_types,194
566,sports.sports_team_roster.position,32
76,medicine.notable_person_with_medical_condition.condition,91
2,book.book_subject.works,189
567,film.film_regional_release_date.film,6
357,award.award_nomination.award_nominee,2
158,film.film.country,69
6,common.topic.webpage,511
568,common.webpage.topic,6
101,freebase.valuenotation.is_reviewed,103
43,film.film.genre,483
569,common.webpage.topic,42
570,freebase.valuenotation.has_no_value,105
15,baseball.baseball_team_stats.team,14
14,baseball.baseball_team.team_stats,571
572,film.film_regional_release_date.film,6
573,sports.sports_team_roster.position,32
198,base.activism.activism_issue.activists,574
575,baseball.baseball_coach.current_team_coaching,576
577,film.film_crew_gig.film_crew_role,34
0,award.award_winner.awards_won,578
578,award.award_honor.award_winner,0
235,common.webpage.category,173
2,sports.pro_athlete.teams,579
549,film.film.country,69
42,award.award_winning_work.awards_won,580
0,common.topic.notable_types,581
582,freebase.valuenotation.has_no_value,105
524,sports.sports_league_draft_pick.team,14
45,freebase.equivalent_topic.equivalent_type,45
182,base.biblioness.bibs_location.country,69
424,freebase.type_profile.strict_included_types,194
583,film.performance.film,6
584,base.gender.personal_gender_identity.gender_identity,22
45,type.type.expected_by,585
561,music.artist.track,92
84,people.sibling_relationship.sibling,83
129,people.person.children,2
474,common.webpage.topic,14
182,location.hud_county_place.place,182
586,common.topic.notable_types,446
6,film.film.release_date_s,410
587,freebase.valuenotation.is_reviewed,336
536,people.sibling_relationship.sibling,526
6,film.film.music,265
588,sports.sports_award.season,589
95,people.person.nationality,69
14,baseball.baseball_team.team_stats,590
443,tv.tv_guest_role.actor,2
591,award.award_honor.award,328
45,base.lightweight.profession.specialization_of,592
6,film.film.starring,583
593,film.film_crew_gig.film,6
45,base.descriptive_names.names.descriptive_name,594
203,people.person.gender,22
6,common.topic.webpage,130
595,film.film_crew_gig.film,42
51,freebase.valuenotation.has_no_value,111
596,award.award_category.winners,301
207,media_common.media_genre.child_genres,597
45,base.descriptive_names.names.descriptive_name,598
599,biology.hybrid_parentage.parent_sex,22
14,baseball.baseball_team.team_stats,600
117,symbols.namesake.named_after,2
601,tv.tv_guest_role.actor,2
160,common.topic.subject_of,141
602,media_common.netflix_title.netflix_genres,361
603,sports.sports_league_draft_pick.team,14
6,film.film.other_crew,604
14,sports.professional_sports_team.draft_picks,605
176,award.award_nomination.ceremony,606
587,film.film.language,137
7,common.topic.webpage,607
2,basketball.basketball_player.player_statistics,433
579,sports.sports_team_roster.position,81
100,film.performance.film,71
255,media_common.netflix_title.netflix_genres,361
608,film.content_rating.country,69
42,film.film.other_crew,609
500,baseball.baseball_team_stats.team,14
575,people.person.nationality,69
34,common.topic.subject_of,441
32,sports.sports_position.players,610
61,freebase.valuenotation.is_reviewed,96
467,base.descriptive_names.names.descriptive_name,611
73,people.person.gender,22
521,common.webpage.topic,7
45,base.descriptive_names.names.descriptive_name,612
103,rdf-schema#domain,35
613,sports.sports_league_draft_pick.team,14
165,people.person.sibling_s,155
614,film.film_crew_gig.film,42
42,film.film.starring,615
220,freebase.valuenotation.is_reviewed,40
136,film.film.country,69
167,medicine.icd_9_cm_classification.includes_classifications,167
202,award.award_honor.award_winner,2
14,baseball.baseball_team.team_stats,616
188,medicine.disease.risk_factors,285
530,common.webpage.in_index,56
7,common.topic.webpage,617
7,common.topic.webpage,618
249,tv.regular_tv_appearance.series,409
619,film.personal_film_appearance.type_of_appearance,247
22,medicine.risk_factor.diseases,620
7,common.topic.subjects,621
211,tv.tv_program.regular_cast,308
43,tv.tv_program.country_of_origin,69
622,common.webpage.in_index,56
335,media_common.netflix_title.netflix_genres,206
623,common.image.appears_in_topic_gallery,624
198,base.activism.activism_issue.activists,625
37,base.activism.activist.area_of_activism,198
14,sports.professional_sports_team.draft_picks,626
43,film.film.starring,627
32,sports.sports_position.players,628
629,baseball.current_coaching_tenure.baseball_team,14
34,base.descriptive_names.names.descriptive_name,630
14,sports.professional_sports_team.draft_picks,631
544,award.award_honor.award,310
632,common.webpage.in_index,56
633,baseball.baseball_team_stats.team,14
197,freebase.valuenotation.is_reviewed,96
34,fictional_universe.character_occupation.characters_with_this_occupation,634
635,baseball.baseball_team_stats.team,14
636,rdf-schema#domain,17
7,base.descriptive_names.names.descriptive_name,637
6,film.film.estimated_budget,638
639,common.webpage.topic,34
640,award.award_honor.award_winner,2
641,common.webpage.in_index,56
45,fictional_universe.character_occupation.characters_with_this_occupation,642
542,common.topic.notable_types,31
534,people.person.parents,164
14,baseball.baseball_team.current_coaches,462
624,common.topic.image,623
643,baseball.baseball_team_stats.team,14
244,music.music_video_gig.music_video_crew_production_role,34
644,film.film.genre,504
645,sports.sports_league_participation.league,456
186,common.topic.notable_types,35
160,common.topic.subjects,141
646,baseball.baseball_team_stats.team,14
14,sports.sports_team.league,647
648,basketball.basketball_player_stats.season,649
347,freebase.valuenotation.is_reviewed,103
650,music.music_video_gig.music_video_crew_production_role,34
651,common.webpage.topic,7
309,award.award_honor.award_winner,2
14,baseball.baseball_team.team_stats,652
653,sports.sports_league_draft_pick.team,14
6,film.film.starring,654
241,film.film.country,69
655,film.personal_film_appearance.person,2
35,freebase.type_profile.published,18
441,people.person.profession,141
581,freebase.type_profile.strict_included_types,194
622,common.webpage.topic,7
71,film.film.starring,533
2,people.person.sibling_s,656
7,base.lightweight.profession.specialization_of,657
658,baseball.baseball_team_stats.team,14
14,sports.sports_team.colors,659
22,medicine.risk_factor.diseases,660
661,common.webpage.topic,34
382,people.place_lived.person,2
14,sports.professional_sports_team.draft_picks,662
663,film.personal_film_appearance.film,335
664,film.film.sequel,136
387,people.profession.specializations,32
3,base.ontologies.ontology_instance_mapping.freebase_topic,2
14,base.sportbase.sport_sport_club.player_role,665
22,medicine.risk_factor.diseases,666
107,people.marriage.spouse,164
33,sports.sports_team_roster.position,32
22,biology.hybrid_parent_gender.hybrids,667
448,tv.tv_guest_role.actor,2
2,symbols.name_source.namesakes,668
361,sports.sport.positions,326
591,freebase.valuenotation.has_no_value,105
32,sports.sports_position.players,573
664,common.topic.webpage,669
255,film.film.genre,504
218,people.person.parents,152
670,film.performance.film,71
7,base.descriptive_names.names.descriptive_name,671
14,sports.professional_sports_team.draft_picks,672
409,tv.tv_program.languages,137
32,sports.coaching_position.coaches,317
417,common.topic.notable_types,424
2,people.person.profession,32
261,common.webpage.in_index,56
673,film.film_regional_release_date.film,6
211,common.topic.notable_types,205
674,film.personal_film_appearance.type_of_appearance,247
42,award.award_nominated_work.award_nominations,174
14,sports.sports_team.colors,675
7,common.topic.webpage,323
7,common.topic.subject_of,676
234,common.webpage.topic,6
